FIPS,quadrant,avg_down,avg_up,max_down,max_up,num_providers,num_platforms,top_plat_type,top_plat_ratio,bscore_raw,bscore_norm,BldgArea,ComArea,ResArea,OfficeArea,RetailArea,GarageArea,StrgeArea,FactryArea,NumBldgs,NumFloors,UnitsRes,UnitsTotal,Building Type_Commercial & Office Buildings,Building Type_Industrial & Manufacturing Buildings,Building Type_Mixed Residential & Commercial Buildings,Building Type_Multi-Family Elevator Buildings,Building Type_Multi-Family Walk-Up Buildings,Building Type_One & Two Family Buildings,Building Type_Open Space & Outdoor Recreation,Building Type_Parking Facilities,Building Type_Public Facilities & Institutions,Building Type_Transportation & Utility,Building Type_Vacant Land,Population Density (per sq. mile),Area (Land),Area Total:,Area Total: Area (Water),Total Population:,Households:,Households: Less than $10_000,Households: $10_000 to $14_999,Households: $15_000 to $19_999,Households: $20_000 to $24_999,Households: $25_000 to $29_999,Households: $30_000 to $34_999,Households: $35_000 to $39_999,Households: $40_000 to $44_999,Households: $45_000 to $49_999,Households: $50_000 to $59_999,Households: $60_000 to $74_999,Households: $75_000 to $99_999,Households: $100_000 to $124_999,Households: $125_000 to $149_999,Households: $150_000 to $199_999,Households: $200_000 or More,Per capita income (In 2014 Inflation adjusted dollars),Gini Index
36047089200,1,317.4693878,295.954449,1000,1000.0,6,3,Copper,0.527272727,568.4466122,1.570265035,1853079,510602,1342477,17421,259410,32310,0,840,250,475.5,1568,1678,21,0,27,5,125,13,1,3,8,5,6,51988.97,0.069341634,0.06934164,0.0,3605,1430,185,205,192,180,97,95,66,47,18,179,56,79,25,6,0,0,13213.0,0.4167
36047089400,1,320.6875,299.3333333,1000,1000.0,3,4,Cable,0.333333333,571.8541667,1.588263774,1378625,149864,1228761,0,69575,13810,0,14000,591,1016.5,1218,1284,2,1,44,0,130,294,0,1,6,1,16,58337.33,0.066492586,0.06649259,0.0,3879,1179,180,31,112,67,47,33,76,117,0,142,114,162,49,18,9,22,16920.0,0.4554
36047090000,1,331.6065574,308.9344262,1000,1000.0,7,4,Fiber,0.310344828,589.5737705,1.681858916,2664730,662333,2002397,20002,123973,0,49976,10000,472,928.0,2018,2091,7,2,18,4,121,221,6,4,15,0,10,59513.3,0.095289631,0.09528963,0.0,5671,2023,422,202,176,67,225,174,180,82,22,106,216,39,89,15,0,8,13956.0,0.4948
36047093400,1,331.9824561,311.7744561,1000,1000.0,3,4,Cable,0.519313305,589.3696842,1.68078093,1022709,58103,964606,884,24965,8700,4680,1860,545,782.59,894,925,4,2,3,0,30,461,0,2,2,1,8,36308.99,0.068633137,0.06863314,0.0,2492,979,66,54,55,34,24,24,45,77,81,49,42,198,103,55,57,15,29181.0,0.4002
36047093600,1,304.6046512,285.9389767,1000,1000.0,5,4,Copper,0.272727273,550.0741395,1.473221433,1072142,416454,655688,0,13833,6000,4120,0,370,512.0,619,634,2,1,2,1,39,251,0,2,4,1,4,30288.68,0.063753191,0.06375319,0.0,1931,609,8,36,18,46,17,15,23,19,14,19,81,132,58,37,72,14,26978.0,0.3528
36047095600,3,66.27027027,41.40540541,101,100.0,4,3,Copper,0.421052632,99.07297297,-0.908971659,1618127,265570,1352557,21179,65152,3972,0,1880,624,1298.0,1212,1264,12,0,12,0,109,424,0,3,3,1,3,51040.58,0.091730927,0.09173093,0.0,4682,1307,104,68,39,49,39,17,91,94,33,47,163,189,180,76,66,52,22228.0,0.414
36047097400,3,79.03389831,56.72854237,1000,1000.0,8,4,Copper,0.416666667,211.3981695,-0.315668743,1199498,580371,619127,87542,78957,47740,2500,0,403,570.5,557,622,15,1,3,0,12,284,1,13,12,15,14,33838.68,0.097432884,0.09743288,0.0,3297,775,35,13,0,24,14,68,39,55,45,59,145,109,95,53,12,9,19244.0,0.32
36047098800,3,56.15384615,35.74912821,101,100.0,8,3,Cable,0.380952381,88.12841026,-0.966780959,1058566,204105,854461,121152,3048,0,0,0,417,722.5,975,990,4,0,5,2,16,362,0,4,2,0,1,49355.65,0.062525772,0.06252577,0.0,3086,1006,33,9,62,69,56,97,65,36,63,37,82,195,67,30,72,33,23793.0,0.3849
36047099400,3,68.70833333,45.256,101,100.0,2,3,Fiber,0.333333333,102.4363333,-0.891206353,735768,46650,689118,21518,5760,4881,0,0,329,566.0,594,604,0,0,6,0,29,239,2,0,2,0,6,28435.23,0.067170195,0.0671702,0.0,1910,649,69,0,5,28,19,25,21,28,0,90,84,123,86,52,5,14,25933.0,0.3689
36047099800,3,62.53333333,38.57026667,101,100.0,3,3,Copper,0.483443709,93.41846667,-0.938838823,1540170,79175,1460995,0,684,4143,0,0,571,1271.0,1244,1247,0,0,1,0,202,328,1,0,0,0,0,25959.55,0.162059824,0.1890746,0.0270148,4207,1254,43,65,37,36,25,58,81,28,17,140,156,220,116,47,102,83,25172.0,0.3923
